t;dt_min;wl_m;dwl_m;wl_ft;dwl_ft;remarks
1975-05-19 07:00;0;19.854;0;61.2;0;
1975-05-19 07:30;0;19.654;0;61.2;0;
1975-05-19 08:35;0;18.854;0;61.2;0;
1975-05-19 08:40;0;18.654;0;61.2;0;pump started (start drawdown)
1975-05-19 08:45;5;18.678;0.024;61.28;0.08;
1975-05-19 08:50;10;18.721;0.067;61.42;0.22;
1975-05-19 08:55;15;18.76;0.107;61.55;0.35;0.33 in original
1975-05-19 09:00;20;18.779;0.125;61.61;0.41;
1975-05-19 09:05;25;18.806;0.152;61.7;0.5;
1975-05-19 09:10;30;18.821;0.168;61.75;0.55;
1975-05-19 09:20;40;18.855;0.201;61.86;0.66;
1975-05-19 09:30;50;18.876;0.223;61.93;0.73;
1975-05-19 09:40;60;18.898;0.244;62;0.8;
1975-05-19 09:50;70;18.916;0.262;62.06;0.86;
1975-05-19 10:00;80;18.934;0.28;62.12;0.92;
1975-05-19 10:10;90;18.946;0.293;62.16;0.96;
1975-05-19 10:20;100;18.959;0.305;62.2;1;
1975-05-19 10:30;110;18.971;0.317;62.24;1.04;
1975-05-19 10:40;120;18.98;0.326;62.27;1.07;
1975-05-19 11:40;180;19.032;0.378;62.44;1.24;
1975-05-19 12:40;240;19.065;0.411;62.55;1.35;
1975-05-19 13:40;300;19.096;0.442;62.65;1.45;
1975-05-19 14:40;360;19.117;0.463;62.72;1.52;
1975-05-19 15:40;420;19.138;0.485;62.79;1.59;
1975-05-19 16:40;480;19.157;0.503;62.85;1.65;
1975-05-19 17:40;540;19.175;0.521;62.91;1.71;
1975-05-19 18:40;600;19.181;0.527;62.93;1.73;
1975-05-19 19:40;660;19.193;0.539;62.97;1.77;
1975-05-19 20:40;720;19.205;0.552;63.01;1.81;
1975-05-19 22:00;800;19.221;0.567;63.06;1.86;pump off (end drawdown start recovery)
1975-05-19 22:05;805;19.196;0.543;62.98;1.78;
1975-05-19 22:10;810;19.154;0.5;62.84;1.64;
1975-05-19 22:15;815;19.12;0.466;62.73;1.53;
1975-05-19 22:20;820;19.096;0.442;62.65;1.45;
1975-05-19 22:25;825;19.071;0.418;62.57;1.37;
1975-05-19 22:30;830;19.056;0.402;62.52;1.32;
1975-05-19 22:40;840;19.026;0.372;62.42;1.22;62.52 in original
1975-05-19 22:50;850;19.004;0.351;62.35;1.15;
1975-05-19 23:00;860;18.986;0.332;62.29;1.09;
1975-05-19 23:10;870;18.968;0.314;62.23;1.03;
1975-05-19 23:20;880;18.949;0.296;62.17;0.97;
1975-05-19 23:30;890;18.94;0.287;62.14;0.94;
1975-05-19 23:40;900;18.928;0.274;62.1;0.9;
1975-05-19 23:50;910;18.919;0.265;62.07;0.87;
1975-05-20 00:00;920;18.913;0.259;62.05;0.85;
1975-05-20 01:00;980;18.867;0.213;61.9;0.7;
1975-05-20 02:00;1040;18.84;0.186;61.81;0.61;
1975-05-20 03:00;1100;18.818;0.165;61.74;0.54;
1975-05-20 04:00;1160;18.803;0.149;61.69;0.49;
1975-05-20 05:00;1220;18.794;0.14;61.66;0.46;
1975-05-20 06:00;1280;18.776;0.122;61.6;0.4;
1975-05-20 07:00;1340;18.763;0.11;61.56;0.36;
1975-05-20 08:00;1400;18.763;0.11;61.56;0.36;
1975-05-20 09:00;1460;18.757;0.104;61.54;0.34;
1975-05-20 10:00;1520;18.748;0.094;61.51;0.31;
1975-05-20 11:20;1600;18.742;0.088;61.49;0.29; (end recovery start drawdown)
1975-05-20 11:30;15;18.76;0.107;61.55;0.35;
1975-05-20 11:40;20;18.779;0.125;61.61;0.41;
1975-05-20 11:50;25;18.806;0.152;61.7;0.5;
1975-05-20 12:20;30;18.821;0.168;61.75;0.55;
1975-05-20 12:30;40;18.855;0.201;61.86;0.66;
1975-05-20 12:40;50;18.876;0.223;61.93;0.73;
1975-05-20 12:50;60;18.898;0.244;62;0.8;
1975-05-20 13:10;70;18.916;0.262;62.06;0.86;
1975-05-20 13:20;80;18.934;0.28;62.12;0.92;
1975-05-20 13:30;90;18.946;0.293;62.16;0.96;
1975-05-20 13:40;100;18.959;0.305;62.2;1;
1975-05-20 14:20;120;18.98;0.326;62.27;1.07;
1975-05-20 14:30;180;19.032;0.378;62.44;1.24;
1975-05-20 14:40;240;19.065;0.411;62.55;1.35;
1975-05-20 14:50;300;19.096;0.442;62.65;1.45;
1975-05-20 15:00;360;19.117;0.463;62.72;1.52;
1975-05-20 16:20;420;19.138;0.485;62.79;1.59;
1975-05-20 16:30;480;19.157;0.503;62.85;1.65;
1975-05-20 16:40;540;19.175;0.521;62.91;1.71;
1975-05-20 16:50;600;19.181;0.527;62.93;1.73;
1975-05-20 17:20;660;19.193;0.539;62.97;1.77;
1975-05-20 17:50;805;19.196;0.543;62.98;1.78;
1975-05-20 18:00;810;19.154;0.5;62.84;1.64;
1975-05-20 18:20;815;19.12;0.466;62.73;1.53;
1975-05-20 18:30;820;19.096;0.442;62.65;1.45;
1975-05-20 18:40;825;19.071;0.418;62.57;1.37;
1975-05-20 22:00;800;19.221;0.567;63.06;1.86;pump off (end drawdown start recovery)
1975-05-20 22:05;805;19.196;0.543;62.98;1.78;
1975-05-20 22:10;810;19.154;0.5;62.84;1.64;
1975-05-20 22:15;815;19.12;0.466;62.73;1.53;
1975-05-20 22:20;820;19.096;0.442;62.65;1.45;
1975-05-20 22:25;825;19.071;0.418;62.57;1.37;
1975-05-20 22:30;830;19.056;0.402;62.52;1.32;
1975-05-20 22:40;840;19.026;0.372;62.42;1.22;62.52 in original
1975-05-20 22:50;850;19.004;0.351;62.35;1.15;
1975-05-20 23:00;860;18.986;0.332;62.29;1.09;
1975-05-20 23:10;870;18.968;0.314;62.23;1.03;
1975-05-20 23:20;880;18.949;0.296;62.17;0.97;
1975-05-20 23:30;890;18.94;0.287;62.14;0.94;
1975-05-20 23:40;900;18.928;0.274;62.1;0.9;
1975-05-20 23:50;910;18.919;0.265;62.07;0.87;
1975-05-21 00:00;920;18.913;0.259;62.05;0.85;
1975-05-21 01:00;980;18.867;0.213;61.9;0.7;
1975-05-21 02:00;1040;18.84;0.186;61.81;0.61;
1975-05-21 03:00;1100;18.818;0.165;61.74;0.54;
1975-05-21 04:00;1160;18.803;0.149;61.69;0.49;
1975-05-21 05:00;1220;18.794;0.14;61.66;0.46;
1975-05-21 06:00;1280;18.776;0.122;61.6;0.4;
1975-05-21 07:00;1340;18.763;0.11;61.56;0.36;
1975-05-21 08:00;1400;18.763;0.11;61.56;0.36;
1975-05-21 09:00;1460;18.757;0.104;61.54;0.34;
1975-05-21 10:00;1520;18.748;0.094;61.51;0.31;
1975-05-21 11:20;1600;18.742;0.088;61.49;0.29; (end recovery)
1975-05-21 11:30;15;18.76;0.107;61.55;0.35;
1975-05-21 11:40;20;18.779;0.125;61.61;0.41;
1975-05-21 11:50;25;18.806;0.152;61.7;0.5;
1975-05-21 12:20;30;18.821;0.168;61.75;0.55;
1975-05-21 12:30;40;19.855;0.201;61.86;0.66;
1975-05-21 12:40;50;19.876;0.223;61.93;0.73;
1975-05-21 12:50;60;19.898;0.244;62;0.8;
